1, 13, 1
2, 13, 2
3, 12, 1
4, 10, 1
5, 8, 3
6, 6, 3
7, 7, 2
8, 2, 1
9, 1, 4
10, 2, 3
11, 3, 4
12, 5, 10
13, 6, 9
14, 7, 10
15, 7, 8
16, 7, 4
17, 7, 2
18, 2, 1
19, 1, 4
20, 2, 3
21, 3, 4
22, 5, 10
23, 6, 9
24, 7, 10
25, 7, 8
26, 7, 4
27, 7, 2
28, 2, 1
29, 1, 4
30, 2, 3
31, 3, 4
32, 5, 10
33, 6, 9
34, 7, 10
35, 7, 8
36, 7, 4
37, 7, 2
38, 2, 1
39, 1, 4
40, 2, 3
41, 3, 4
42, 5, 10
43, 6, 9
44, 7, 10
45, 7, 8
46, 7, 4
47, 7, 2
48, 2, 1
49, 1, 4
50, 2, 3
51, 3, 4
52, 5, 10
53, 6, 9
54, 7, 10
55, 7, 8
56, 7, 4
57, 7, 2
58, 2, 1
59, 1, 4
60, 2, 3
61, 3, 4
62, 5, 10
63, 6, 9
64, 7, 10
65, 7, 8
66, 7, 4
67, 7, 2
68, 2, 1
69, 1, 4
70, 2, 3
71, 3, 4
72, 5, 10
73, 6, 9
74, 7, 10
75, 7, 8
76, 7, 4
77, 7, 2
78, 2, 1
79, 1, 4
80, 2, 3
81, 3, 4
82, 5, 10
83, 6, 9
84, 7, 10
85, 7, 8
86, 7, 4
87, 7, 2
88, 2, 1
89, 1, 4
90, 2, 3
91, 3, 4
92, 5, 10
93, 6, 9
94, 7, 10
95, 7, 8
96, 7, 4
97, 7, 2
98, 2, 1
99, 1, 4
100, 2, 3
101, 3, 4
102, 5, 10
103, 6, 9
104, 7, 10
105, 7, 8
106, 7, 4
107, 7, 2
108, 2, 1
109, 1, 4
110, 2, 3
111, 3, 4
112, 5, 10
113, 6, 9
114, 7, 10
115, 7, 8
116, 7, 4
117, 7, 2
118, 2, 1
119, 1, 4
120, 2, 3
121, 3, 4
122, 5, 10
123, 6, 9
124, 7, 10
125, 7, 8
126, 7, 4
127, 7, 2
128, 2, 1
129, 1, 4
130, 2, 3
131, 3, 4
132, 5, 10
133, 6, 9
134, 7, 10
135, 7, 8
136, 7, 4
137, 7, 2
138, 2, 1
139, 1, 4
140, 2, 3
141, 3, 4
142, 5, 10
143, 6, 9
144, 7, 10
145, 7, 8
146, 7, 4
147, 7, 2
148, 2, 1
149, 1, 4
150, 2, 3
151, 3, 4
152, 5, 10
153, 6, 9
154, 7, 10
155, 7, 8
156, 7, 4
157, 7, 2
158, 2, 1
159, 1, 4
160, 2, 3
161, 3, 4
162, 5, 10
